"","Strain1","Strain2","Strain3","Strain4","Strain5","Strain6","Strain7","Strain8","Strain9","Strain10","Strain11","Strain12","Strain13","Strain14","Strain15","Strain16","Strain17","Strain18","Strain19","Strain20"
"Hydrophilic BA",-1.65133092066599,-1.20997190019015,-0.201651889266614,-0.586486308309191,1.61143016709517,-0.225370443443577,1.16546576889253,-0.41292204701723,-0.0507668922699194,1.53642167555473,0.0834739951806877,0.228887809615186,-1.68753913297644,-0.102600272470958,-1.54940218720565,-0.310103588715466,0.425611104365728,-1.01834819373601,-0.687009855124377,-0.71857180686896
"Tauro BA",-0.779159760710313,0.803113542978618,-1.19833175185558,-1.0202604807804,-0.126965001636769,1.98834632263147,-1.45080849085315,-0.285995467209539,0.369408597999926,-0.508828924948672,0.0720261586774826,0.334685009397775,-1.03359605507189,1.35978495465126,-0.0414595201930369,-0.24225827944125,1.81738072203737,-0.753786099103393,0.642332490115579,2.04670822364113
"Total BA",0.677234864203195,-0.343477112891531,-0.320035201785879,-0.694496271889838,0.274018143691905,-1.27930416181474,0.0503890887823025,-0.629500044007334,0.443617110351888,0.967095696626321,-1.8519478534609,1.13109345889785,-1.45678246904024,-0.529635230257113,-0.156004704456898,-0.703384749545885,-0.811137721745406,0.440794920952098,1.04639469813439,-1.22569311984686
"Free BA",0.746602872411574,-0.164222954731289,-0.928771769191122,0.995213393294812,-0.943618915799583,-0.776435810080402,0.671451363971345,-0.78409581400053,1.02546754777077,0.0969015827653686,0.227224226160433,0.0489486610339871,-0.355430507271589,2.61560872328402,0.665790713620969,0.359675505942148,0.606506002666752,0.151945234732769,-0.566697697489427,0.32692089040639
"Conjugated BA",-0.23378432763916,0.789701697684885,-0.227279563771015,-0.732078907842119,0.0698406097257721,-1.13515703047208,0.0327668907707611,0.211652215166186,0.166420187541888,-0.0967418148820416,-0.534801845073264,-1.44590018815051,-0.214356251775085,0.901296261612945,2.22735960574094,1.28898478687602,-1.95141789885605,1.18940845184218,1.4568520398812,-0.754564399207401
"Glyco BA",0.357974998440289,-1.19998091356218,0.760222481472983,0.0194282978404831,1.19460951012476,-0.745802196258409,-1.25431667380976,1.62739772710232,0.375545578780717,0.668282494216016,-0.0138953491374342,-0.463156200076871,-0.75712626784571,0.117208759773323,-0.610232530299075,1.85678078348829,-1.27585552449069,0.664964293429552,-0.755006626042268,1.75804861625179
"Hydrophobic BA",0.575312482788757,-0.0613020444444516,-2.0895911399733,-2.5257222788805,1.36559908084377,-1.61626312019538,0.371503181046877,-0.712233440939443,-0.738304000969332,-0.637131579252871,-0.159375847279874,0.969279887164426,1.61033149845756,1.81977119748123,-0.504025346581797,0.409283442278389,1.11751607485889,1.86464335163472,1.81313161757073,-1.16872793012011
"Primary BA",-0.978242406785085,0.122373950947556,-0.370423126506972,-1.57219953649183,1.04016157170202,0.703133132877944,0.25649173297163,-1.36101271664508,0.512417421529992,1.12003638642293,-0.205770549685846,-1.83542745411696,-0.498239219159972,-0.752813491158554,-0.746456889996184,0.958507962831335,-0.922574296256966,-1.0314151380032,-0.940376533026162,0.532700119169809
"Secondary BA",0.594094866735485,-0.484135955390694,0.42348673052854,-2.84300475932395,-0.146558759050041,-1.0182266406118,2.60645685801141,0.360700323695004,0.601363988360219,0.089220459912521,-0.69830313242113,1.22979344751363,-0.695889913619411,0.113845224623599,0.0928313111226752,-0.264053297988525,-1.22118574041996,-1.25599924483014,0.646948960106854,-0.222934932540989
"Other BA",-0.70098638510413,-1.56642523631844,1.02926492201453,0.285390506904978,-0.481480358642156,1.26134451247845,0.803788658257742,-0.449341543832011,-1.45071646114831,0.0929982787319095,0.698715935407394,-1.2398868539592,0.716874486470581,0.442520615268272,-0.653766379610018,-0.100244170048388,-0.265973815295963,1.0674512219029,1.45153950520709,0.9455333220376
